,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
0,0,9,stress,stress,stress,stress,unstress,stress,stress,stress,stress,missing,missing,missing,"['One', 'of', 'my', 'wishes', 'is', 'that', 'those', 'dark', 'trees']",1,Frost,-0.15,0.4
1,1,11,stress,stress,unstress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['So', 'old', 'and', 'firm', 'they', 'scarcely', 'show', 'the', 'breeze']",1,Frost,-0.05,0.3
2,2,10,unstress,stress,stress,missing,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Were', 'not', 'as', 'twere', 'the', 'merest', 'mask', 'of', 'gloom']",1,Frost,-0.133333333333,0.133333333333
3,3,10,stress,stress,unstress,stress,stress,unstress,unstress,stress,unstress,stress,missing,missing,"['But', 'stretched', 'away', 'unto', 'the', 'edge', 'of', 'doom']",1,Frost,-0.05,0.0
4,4,10,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,missing,missing,"['I', 'should', 'not', 'be', 'withheld', 'but', 'that', 'some', 'day']",1,Frost,0.0,0.0
5,5,10,unstress,stress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['Into', 'their', 'vastness', 'I', 'should', 'steal', 'away']",1,Frost,0.0,0.0
6,6,10,stress,unstress,unstress,stress,unstress,stress,unstress,stress,unstress,stress,missing,missing,"['Fearless', 'of', 'ever', 'finding', 'open', 'land']",1,Frost,0.0,0.5
7,7,10,unstress,stress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,missing,"['Or', 'highway', 'where', 'the', 'slow', 'wheel', 'pours', 'the', 'sand']",1,Frost,-0.3,0.4
8,8,10,stress,stress,stress,stress,stress,stress,stress,missing,stress,stress,missing,missing,"['I', 'do', 'not', 'see', 'why', 'I', 'should', 'eer', 'turn', 'back']",1,Frost,0.0,0.0
9,9,10,unstress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,missing,"['Or', 'those', 'should', 'not', 'set', 'forth', 'upon', 'my', 'track']",1,Frost,0.0,0.0
10,10,10,unstress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,missing,missing,"['To', 'overtake', 'me', 'who', 'should', 'miss', 'me', 'here']",1,Frost,0.0,0.0
11,11,10,unstress,stress,unstress,stress,unstress,stress,stress,stress,unstress,stress,missing,missing,"['And', 'long', 'to', 'know', 'if', 'still', 'I', 'held', 'them', 'dear']",1,Frost,-0.05,0.4
